itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Wanderer Coat +1,25.3,27.1,27.1,25.3,23.1,28.6,25.3,0,3.5
Wanderer Coat +10,55.7,59.6,59.6,55.7,50.8,62.9,55.7,0,3.5
Wanderer Coat +2,27.6,29.5,29.5,27.6,25.2,31.2,27.6,0,3.5
Wanderer Coat +3,29.9,32,32,29.9,27.3,33.8,29.9,0,3.5
Wanderer Coat +4,32.9,35.2,35.2,32.9,30,37.2,32.9,0,3.5
Wanderer Coat +5,35.9,38.4,38.4,35.9,32.8,40.6,35.9,0,3.5
Wanderer Coat +6,38.9,41.6,41.6,38.9,35.5,43.9,38.9,0,3.5
Wanderer Coat +7,42.5,45.5,45.5,42.5,38.9,48.1,42.5,0,3.5
Wanderer Coat +8,46.2,49.5,49.5,46.2,42.2,52.3,46.2,0,3.5
Wanderer Coat +9,49.9,53.4,53.4,49.9,45.6,56.4,49.9,0,3.5
Witch Cloak,33,36.6,33,33,43,20,26,0,4
Witch Cloak +1,35.6,39.6,35.6,35.6,46.4,21.6,28.1,0,4
Witch Cloak +2,39.3,43.6,39.3,39.3,51.2,23.8,30.9,0,4
Witch Cloak +3,42.6,47.3,42.6,42.6,55.5,25.8,33.5,0,4
Witch Cloak +4,45.9,50.9,45.9,45.9,59.8,27.8,36.1,0,4
Witch Cloak +5,51.1,56.8,51.1,51.1,66.7,31,40.3,0,4
Xanthous Overcoat,32,35.8,32,29.1,37,7,23,0,3.9
Xanthous Overcoat +1,34.6,38.7,34.6,31.4,40,7.6,24.8,0,3.9
Xanthous Overcoat +2,38.1,42.6,37.1,34.7,44,8.3,27.4,0,3.9
Xanthous Overcoat +3,41.3,46.2,41.3,37.6,47.7,9,29.7,0,3.9
Xanthous Overcoat +4,44.5,49.8,44.5,40.5,51.4,9.7,32,0,3.9
Xanthous Overcoat +5,49.6,55.6,49.6,45.1,57.4,10.8,35.6,0,3.9
Robe of the Great Lord,32,34.6,36.8,29.4,32,41,41,0,6
