itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Steel Helm +5,25,23.5,28.7,25,12.5,12.5,7.8,9,5.4
Steel Helm +6,27,25.4,31.1,27,13.5,13.5,8.5,9,5.4
Steel Helm +7,29.6,27.8,34,29.6,14.8,14.8,9.2,9,5.4
Steel Helm +8,32.2,30.2,37,32.2,16.1,16.1,10.1,9,5.4
Steel Helm +9,34.7,32.6,39.9,34.7,17.4,17.4,10.9,9,5.4
Stone Helm,35,32.9,40.3,35,17,21,21,15,6.8
Sunlight Maggot,6,6,6,6,5,24,13,0,1.4
Symbol of Avarice,21,10.9,21,21,8,2,2,15,10
Tattered Cloth Hood +1,8.8,9.8,8.8,8.8,9.9,13.2,6.6,0,1.1
Tattered Cloth Hood +10,19.4,21.5,19.4,19.4,21.8,29,14.5,0,1.1
Tattered Cloth Hood +2,9.6,10.7,9.6,9.6,10.8,14.4,7.2,0,1.1
Tattered Cloth Hood +3,10.4,11.5,10.4,10.4,11.7,15.6,7.8,0,1.1
Tattered Cloth Hood +4,11.4,12.7,11.4,11.4,12.9,17.2,8.6,0,1.1
Tattered Cloth Hood +5,12.5,13.9,12.5,12.5,14,18.7,9.4,0,1.1
Tattered Cloth Hood +6,13.5,15,13.5,13.5,15.2,20.3,10.1,0,1.1
Tattered Cloth Hood +7,14.8,16.4,14.8,14.8,16.6,22.2,11.1,0,1.1
Tattered Cloth Hood +8,16.1,17.8,16.1,16.1,18.1,24.1,12.1,0,1.1
Tattered Cloth Hood +9,17.4,19.3,17.4,17.4,19.5,26,13,0,1.1
Tattered Cloth Hood,8,8.9,8,8,9,12,6,0,1.1
Thief Mask,9,9.6,9,9,8,5,6,0,1.2
Thief Mask +1,9.9,10.6,9.9,9.9,8.8,5.5,6.6,0,1.2
Thief Mask +10,21.8,23.3,21.8,21.8,19.4,12.1,14.5,0,1.2
Thief Mask +2,10.8,11.6,10.8,10.8,9.6,6,7.2,0,1.2
Thief Mask +3,11.7,12.5,11.7,11.7,10.4,6.5,7.8,0,1.2
Thief Mask +4,12.9,13.8,12.9,12.9,11.4,7.1,8.6,0,1.2
Thief Mask +5,14,15,14,14,12.5,7.8,9.4,0,1.2
Thief Mask +6,15.2,16.3,15.2,15.2,13.5,8.5,10.1,0,1.2
Thief Mask +7,16.6,17.8,16.6,16.6,14.8,9.2,11.1,0,1.2
Thief Mask +8,18.1,19.4,18.1,18.1,16.1,10.1,12.1,0,1.2
Thief Mask +9,19.5,20.9,19.5,19.5,17.4,10.9,13,0,1.2
Wanderer Hood,9,9.6,9.6,9,8,10,9,0,1.4
Wanderer Hood +1,9.9,10.6,10.6,9.9,8.8,11,9.9,0,1.4
Wanderer Hood +10,21.8,23.3,23.3,21.8,19.4,24.2,21.8,0,1.4
Wanderer Hood +2,10.8,11.6,11.6,10.8,9.6,12,10.8,0,1.4
Wanderer Hood +3,11.7,12.5,12.5,11.7,10.4,13,11.7,0,1.4
Wanderer Hood +4,12.9,13.8,13.8,12.9,11.4,14.3,12.9,0,1.4
Wanderer Hood +5,14,15,15,14,12.5,15.6,14,0,1.4
Wanderer Hood +6,15.2,16.3,16.3,15.2,13.5,16.9,15.2,0,1.4
Wanderer Hood +7,16.6,17.8,17.8,16.6,14.8,18.5,16.6,0,1.4
Wanderer Hood +8,18.1,19.4,19.4,18.1,16.1,20.1,18.1,0,1.4
Wanderer Hood +9,19.5,20.9,20.9,19.5,17.4,21.7,19.5,0,1.4
Witch Hat,9,10,9,9,12,6,7,0,1.1
Witch Hat +1,9.7,10.8,9.7,9.7,13,6.5,7.6,0,1.1
Witch Hat +2,10.7,11.9,10.7,10.7,14.3,7.1,8.3,0,1.1
Witch Hat +3,11.6,12.9,11.6,11.6,15.5,7.7,9,0,1.1
Witch Hat +4,12.5,13.9,12.5,12.5,16.7,8.3,9.7,0,1.1
Witch Hat +5,13.9,15.5,13.9,13.9,18.6,9.3,10.8,0,1.1
Xanthous Crown,18,27.7,18,15.3,15,3,8,0,5
Xanthous Crown +1,19.4,29.9,19.4,16.5,16.2,3.2,7.6,0,5
Xanthous Crown +2,21.4,33,21.4,18.2,17.9,3.6,9.4,0,5
Xanthous Crown +3,23.2,35.8,23.2,19.7,19.3,3.9,10.3,0,5
Xanthous Crown +4,25,38.5,25,21.3,20.9,4.2,11.1,0,5
Xanthous Crown +5,27.9,43,27.9,23.7,23.3,4.6,12.4,0,5
