itemName,PdefBase,PdefStrk,PdefSlsh,PdefThst,MdefBase,MdefFire,MdefLght,Poise,Weight
Traveling Boots +6,20.3,21.9,21.1,20.3,27,13.5,16.9,0,1.6
Traveling Boots +7,22.2,24,23.1,22.2,29.6,14.8,18.5,0,1.6
Traveling Boots +8,24.1,26,25.1,24.1,32.2,16.1,20.1,0,1.6
Traveling Boots +9,26,28.1,27.1,26,34.7,17.4,21.7,0,1.6
Waistcloth of the Channelers,32,30.7,36.5,32,27,27,20,7,6
Wanderer Boots,14,15,15,14,12,15,13,0,2.1
Wanderer Boots +1,15.4,16.5,16.5,15.4,13.2,16.5,14.3,0,2.1
Wanderer Boots +10,33.9,36.3,36.3,33.9,29,36.6,32.5,0,2.1
Wanderer Boots +2,16.8,18,18,16.8,14.4,18,15.6,0,2.1
Wanderer Boots +3,18.2,19.5,19.5,18.2,15.6,19.5,16.9,0,2.1
Wanderer Boots +4,20,21.4,21.4,20,17.2,21.4,18.6,0,2.1
Wanderer Boots +5,21.8,23.4,23.4,21.8,18.7,23.4,20.3,0,2.1
Wanderer Boots +6,23.7,25.3,25.3,23.7,20.3,25.4,22,0,2.1
Wanderer Boots +7,25.9,27.7,27.7,25.9,22.2,27.7,24.1,0,2.1
Wanderer Boots +8,28.1,30.1,30.1,28.1,24.1,30.1,26.1,0,2.1
Wanderer Boots +9,30.4,32.5,32.5,30.4,26,32.6,28.2,0,2.1
Witch Skirt,17,18.9,17,17,27,12,17,0,2.5
Witch Skirt +1,18.4,20.4,18.4,18.4,29.2,13,18.4,0,2.5
Witch Skirt +2,20.2,22.5,20.2,20.2,32.1,14.3,20.2,0,2.5
Witch Skirt +3,21.9,24.3,21.9,21.9,34.8,15.5,21.9,0,2.5
Witch Skirt +4,23.6,26.2,23.6,23.6,37.5,16.7,23.6,0,2.5
Witch Skirt +5,26.3,29.2,26.3,26.3,41.8,18.6,26.3,0,2.5
Xanthous Waistcloth,32,35.8,32,29.1,39,7,23,0,4
Xanthous Waistcloth +1,34.6,38.7,34.6,31.4,42.1,7.6,24.8,0,4
Xanthous Waistcloth +2,38.1,42.6,38.1,34.7,46.4,8.3,27.4,0,4
Xanthous Waistcloth +3,41.3,46.2,41.3,37.6,50.3,9,29.7,0,4
Xanthous Waistcloth +4,44.5,49.8,44.5,40.5,54.2,9.7,32,0,4
Xanthous Waistcloth +5,49.6,55.6,49.6,45.1,60.5,10.8,35.6,0,4
